Portefeuille,ISIN,Nom,Quantite,Valeur_Investie_EUR,PAM_EUR
CTO,US9311421039,Walmart Inc.,26.88,2964.16,78.51
CTO,IE00B0M62Q58,iShares MSCI World ETF,19.71,1588.61,78.21
CTO,US67066G1040,NVIDIA Corp.,8.51,1341.65,159.81
CTO,US57636Q1040,Mastercard Inc.,3.01,1305.99,469.43
CTO,US5949181045,Microsoft Corp.,3.26,1126.35,399.52
CTO,US1912161007,Coca-Cola Co.,6.02,406.33,62.21
CTO,US7134481081,PepsiCo Inc.,2.91,402.09,155.33
CTO,US92826C8394,Visa Inc.,1.31,352.38,312.98
CTO,US22160K1051,Costco Wholesale,0.39,339.32,935.92
CTO,US34959E1091,Fortinet Inc.,4.00,291.64,66.12
CTO,US69608A1088,Palantir Technologies,0.99,130.92,151.52
PEA,FR0011550185,ETF S&P500 BNPP,82.00,2402.60,28.96
PEA,NL0000235190,Airbus SE,8.00,1345.12,179.08
PEA,FR0000133308,Orange S.A.,73.00,1265.82,12.86
PEA,FR0000121014,LVMH,2.00,953.30,583.70
PEA,FR0000131104,BNP Paribas,10.00,847.70,79.24
PEA,FR0000120628,AXA S.A.,20.00,769.70,40.94
PEA,FR0000045072,Credit Agricole,29.00,469.37,17.17
PEA,FR0000120073,Air Liquide,2.00,339.52,166.74
PEA,LU3047998896,ETF Defense BNPP,20.00,232.48,11.82
PEA,LU1834983477,ETF Banks Amundi,4.00,222.96,62.40
PEA,FR0000125007,Saint-Gobain,1.00,71.52,91.58
PEA,FR0010220475,Alstom S.A.,3.00,69.36,23.04
PEA,FR0010667147,Coface S.A.,4.00,57.48,16.01
OBLIGATIONS,US458140CH18,Intel Corp. DL-Notes 2023(23/43),2868.43,2469.52,
OBLIGATIONS,US912810SQ22,US Treasury DL-Notes 2020(40),4609.23,2559.30,
CRYPTO,bitcoin,Bitcoin,0.013059,779.66,59700.00
CRYPTO,solana,Solana,1.129128,126.39,111.94
